Threshold,Precision,Recall,F1 Score
0.1,1.0,0.9705882352941176,0.9850746268656716
0.15000000000000002,1.0,0.9705882352941176,0.9850746268656716
0.20000000000000004,1.0,0.9705882352941176,0.9850746268656716
0.25000000000000006,1.0,0.9705882352941176,0.9850746268656716
0.30000000000000004,1.0,0.9705882352941176,0.9850746268656716
0.3500000000000001,1.0,0.9705882352941176,0.9850746268656716
0.40000000000000013,1.0,0.9705882352941176,0.9850746268656716
0.45000000000000007,1.0,0.9705882352941176,0.9850746268656716
0.5000000000000001,1.0,0.9705882352941176,0.9850746268656716
0.5500000000000002,1.0,0.9705882352941176,0.9850746268656716
0.6000000000000002,1.0,0.9705882352941176,0.9850746268656716
0.6500000000000001,1.0,0.9705882352941176,0.9850746268656716
0.7000000000000002,1.0,0.9705882352941176,0.9850746268656716
0.7500000000000002,1.0,0.9705882352941176,0.9850746268656716
0.8000000000000002,1.0,0.9705882352941176,0.9850746268656716
0.8500000000000002,1.0,0.9705882352941176,0.9850746268656716
0.9000000000000002,1.0,0.9705882352941176,0.9850746268656716
0.9500000000000003,1.0,0.9705882352941176,0.9850746268656716
